model,temperature,load,run_dir,metric,mean,min,max,std,median
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_024919,cost,0.10752,0.10752,0.10752,4.1978874438392473e-17,0.10752
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_024919,cpu_usage,0.8834754098360654,0.855,1.339,0.0643054187860237,0.871
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_024919,mem_usage,0.8745737704918034,0.846,1.326,0.0637598251295159,0.862
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_024919,number_of_migrations,96.0,0.0,160.0,66.93280212272605,80.0
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_024919,pending_pods,0.1475409836065573,0.0,5.0,0.8131433980500298,0.0
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_024919,time_with_pending,0.0327868852459016,0.0,1.0,0.1795562228341582,0.0
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_024919,wokloads_with_pending_pods,0.0011214933950757,0.0,0.0491803278688524,0.0067228522480514,0.0
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_033004,cost,0.10752,0.10752,0.10752,4.1978874438392473e-17,0.10752
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_033004,cpu_usage,0.8745245901639342,0.147,1.263,0.1184330481126189,0.871
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_033004,mem_usage,0.8658688524590165,0.145,1.25,0.1172962737984226,0.862
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_033004,number_of_migrations,64.0,0.0,80.0,35.77708763999664,80.0
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_033004,pending_pods,0.2622950819672131,0.0,7.0,1.1958489222342197,0.0
