model,temperature,load,run_dir,metric,mean,min,max,std,median
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,cost,0.1809546666666666,0.17024,0.20832,0.0123593987384152,0.17024
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,cpu_usage,0.9792666666666666,0.206,1.768,0.4243086846707308,1.018
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,mem_usage,0.9694666666666668,0.204,1.751,0.4199929969822404,1.008
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,number_of_migrations,225.6,30.0,414.0,138.94891147468556,252.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,pending_pods,42.8,0.0,246.0,82.79498879456133,0.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,time_with_pending,0.3333333333333333,0.0,1.0,0.4753826885415282,0.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,wokloads_with_pending_pods,0.0891121690438787,0.0,0.4235294117647059,0.1510708792983622,0.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_023952,cost,0.1801333333333333,0.17024,0.20832,0.0120542472529875,0.17024
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_023952,cpu_usage,0.9763166666666668,0.206,1.682,0.4195667859269932,1.0245
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_023952,mem_usage,0.9666333333333332,0.204,1.665,0.4153810162977661,1.0145
