model,temperature,load,metric,mean_across_runs,min_across_runs,max_across_runs,median_across_runs,std_across_runs,n_runs
anthropic-claude-sonnet-4.5,0.0,varia,cost,0.18650888743169397,0.17024,0.20831999999999998,0.17964799999999997,0.011014439180395038,5
anthropic-claude-sonnet-4.5,0.0,varia,cpu_usage,0.911735136612022,0.179,1.7937999999999998,0.9214,0.07251241243442763,5
anthropic-claude-sonnet-4.5,0.0,varia,mem_usage,0.9029470491803279,0.17759999999999998,1.7765999999999997,0.9122,0.07187123482054261,5
anthropic-claude-sonnet-4.5,0.0,varia,number_of_migrations,201.36,56.4,367.2,195.6,76.07186076335981,5
anthropic-claude-sonnet-4.5,0.0,varia,pending_pods,51.66010928961748,0.0,216.8,4.0,28.175995618833852,5
anthropic-claude-sonnet-4.5,0.0,varia,time_with_pending,0.45912568306010926,0.0,1.0,0.5,0.1315876041289337,5
anthropic-claude-sonnet-4.5,0.0,varia,wokloads_with_pending_pods,0.12037460239018509,0.0,0.4538095238095238,0.0275238095238095,0.05359596519400323,5
anthropic-claude-sonnet-4.5,1.0,varia,cost,0.18301546666666663,0.17024,0.206528,0.17248000000000002,0.012080128682169613,5
anthropic-claude-sonnet-4.5,1.0,varia,cpu_usage,0.8707266666666668,0.20600000000000002,1.7126000000000001,0.9344000000000001,0.021795984594517617,5
anthropic-claude-sonnet-4.5,1.0,varia,mem_usage,0.8622399999999999,0.20400000000000001,1.6958000000000002,0.9252,0.02163634930183717,5
anthropic-claude-sonnet-4.5,1.0,varia,number_of_migrations,180.96,6.0,349.2,195.6,40.44907909952956,5
anthropic-claude-sonnet-4.5,1.0,varia,pending_pods,70.38333333333334,0.0,272.4,9.1,16.86371845116017,5
anthropic-claude-sonnet-4.5,1.0,varia,time_with_pending,0.5166666666666666,0.0,1.0,0.7,0.023570226039551598,5
anthropic-claude-sonnet-4.5,1.0,varia,wokloads_with_pending_pods,0.1555600075160596,0.0,0.4782857142857143,0.04755555555555554,0.02959154523257462,5
google-gemini-2.5-pro,0.0,varia,cost,0.17803826010928958,0.17024,0.188608,0.175168,0.005149306730658823,5
google-gemini-2.5-pro,0.0,varia,cpu_usage,0.8663048633879782,0.16920000000000002,1.3746000000000003,0.959,0.04365109121267019,5
google-gemini-2.5-pro,0.0,varia,mem_usage,0.8578921857923497,0.16760000000000003,1.3611999999999997,0.9496,0.043173434372322225,5
google-gemini-2.5-pro,0.0,varia,number_of_migrations,117.3,4.8,284.4,90.0,38.1454453375498,5
google-gemini-2.5-pro,0.0,varia,pending_pods,77.05284153005464,0.0,242.8,72.6,12.440090468379921,5
google-gemini-2.5-pro,0.0,varia,time_with_pending,0.5959562841530055,0.0,1.0,1.0,0.016562651326807377,5
google-gemini-2.5-pro,0.0,varia,wokloads_with_pending_pods,0.18306529051730402,0.0,0.496,0.23155800295186477,0.021888667799651505,5
google-gemini-2.5-pro,1.0,varia,cost,0.1702399999999999,0.17024,0.17024,0.17024,0.0,5
google-gemini-2.5-pro,1.0,varia,cpu_usage,0.8232718032786884,0.1648,1.1716000000000002,0.915,0.029907519692902854,5
google-gemini-2.5-pro,1.0,varia,mem_usage,0.8152537158469944,0.16319999999999998,1.1598000000000002,0.906,0.029642919086609466,5
google-gemini-2.5-pro,1.0,varia,number_of_migrations,78.3,0.0,183.6,64.8,22.23342078943319,5
google-gemini-2.5-pro,1.0,varia,pending_pods,100.17535519125683,0.0,280.0,89.7,7.788260276449131,5
google-gemini-2.5-pro,1.0,varia,time_with_pending,0.7089617486338798,0.0,1.0,1.0,0.08741085817304974,5
google-gemini-2.5-pro,1.0,varia,wokloads_with_pending_pods,0.23667163919196338,0.0,0.6386666666666667,0.2910952380952381,0.027667301448358328,5
karmada-native,N/A,varia,cost,0.18454613333333328,0.17024,0.19264,0.189056,0.0012636657785981386,5
karmada-native,N/A,varia,cpu_usage,1.02376,0.0,1.823,1.0737999999999999,0.010165789579652763,5
karmada-native,N/A,varia,mem_usage,1.0138033333333334,0.0,1.8050000000000002,1.0633000000000001,0.010017723183327507,5
karmada-native,N/A,varia,number_of_migrations,8.28,1.4,16.6,7.2,0.6058052492344382,5
karmada-native,N/A,varia,pending_pods,6.22,0.0,94.0,0.0,3.363971693631733,5
karmada-native,N/A,varia,time_with_pending,0.084297520661157,0.0,1.0,0.0,0.041487274043012015,5
karmada-native,N/A,varia,wokloads_with_pending_pods,0.00901932937258878,0.0,0.2371428571428571,0.0,0.004482937426903614,5
openai-gpt-5,0.0,varia,cost,0.1702399999999999,0.17024,0.17024,0.17024,0.0,5
openai-gpt-5,0.0,varia,cpu_usage,0.8249059688660612,0.1462,1.1352,0.9231999999999999,0.018835835596026407,5
