timestamp,mem_allocated_public,mem_requested_public,cpu_allocated_public,cpu_requested_public,cluster_mem_load_public,cluster_cpu_load_public,cluster_cpu_capacity_public,cluster_memory_capacity_public,number_pending_public_x,mem_allocated_private,mem_requested_private,cpu_allocated_private,cpu_requested_private,cluster_mem_load_private,cluster_cpu_load_private,cluster_cpu_capacity_private,cluster_memory_capacity_private,number_pending_private_x,time_seconds,number_of_pods_pending,number_pending_private_y,number_pending_public_y,total_percent_pending,cpu_load_public,mem_load_public,cpu_load_private,mem_load_private,cost_public,cost_public_hourly,cost_private,cost_private_hourly,cost_total,cumulative_cost_public,cumulative_cost_private,cumulative_cost_total,migration_execution,migration_type,migration_total_pods,migration_to_private,migration_to_public
2026-08-01 13:29:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.08512,10.2144,0.08512,10.2144,0.17024,0.08512,0.08512,0.17024,,,,,
2026-08-01 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,119.77748437499999,119.77748437499999,59.88419999999999,59.88419999999999,119.77748437499999,59.88419999999999,232.56,469.71562500000005,0,30.0,0,0,0,0.0,0.0,0.0,0.206,0.204,0.08512,10.2144,0.08512,10.2144,0.17024,0.17024,0.17024,0.34048,,,,,
2026-08-01 13:30:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,177.90479296875,179.6662265625,88.9542,89.82629999999999,177.90479296875,88.9542,232.56,469.71562500000005,1,60.0,1,1,0,0.011111111111111112,0.0,0.0,0.306,0.303,0.08512,10.2144,0.08512,10.2144,0.17024,0.25536000000000003,0.25536000000000003,0.5107200000000001,,,,,
2026-08-01 13:31:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,225.4635,239.55496874999997,112.7916,119.76839999999999,225.4635,112.7916,232.56,469.71562500000005,7,90.0,7,7,0,0.06140350877192982,0.0,0.0,0.388,0.384,0.08512,10.2144,0.08512,10.2144,0.17024,0.34048,0.34048,0.68096,,,,,
2026-08-01 13:31:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,283.59080859375,299.4437109375,141.86159999999998,149.7105,283.59080859375,141.86159999999998,232.56,469.71562500000005,8,120.0,8,8,0,0.05555555555555555,0.0,0.0,0.488,0.483,0.08512,10.2144,0.08512,10.2144,0.17024,0.4256,0.4256,0.8512,,,,,
2026-08-01 13:32:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,345.82812890624996,359.91959765625,172.9665,179.9433,345.82812890624996,172.9665,232.56,469.71562500000005,7,150.0,7,7,0,0.040229885057471264,0.0,0.0,0.595,0.589,0.08512,10.2144,0.08512,10.2144,0.17024,0.51072,0.51072,1.02144,,,,,
2026-08-01 13:32:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,401.60685937500006,419.80833984375,200.87369999999999,209.88539999999998,401.60685937500006,200.87369999999999,232.56,469.71562500000005,9,180.0,9,9,0,0.045454545454545456,0.0,0.0,0.691,0.684,0.08512,10.2144,0.08512,10.2144,0.17024,0.5958399999999999,0.5958399999999999,1.1916799999999999,,,,,
2026-08-01 13:33:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,461.49560156250004,479.69708203125,230.8158,239.8275,461.49560156250004,230.8158,232.56,469.71562500000005,9,210.0,9,9,0,0.039473684210526314,0.0,0.0,0.794,0.786,0.08512,10.2144,0.08512,10.2144,0.17024,0.6809599999999999,0.6809599999999999,1.3619199999999998,,,,,
2026-08-01 13:33:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,521.97148828125,539.5858242187501,260.7579,269.7696,521.97148828125,260.7579,232.56,469.71562500000005,9,240.0,9,9,0,0.03409090909090909,0.0,0.0,0.897,0.889,0.08512,10.2144,0.08512,10.2144,0.17024,0.7660799999999999,0.7660799999999999,1.5321599999999997,,,,,
2026-08-01 13:34:00,59.88874218749999,59.88874218749999,29.942099999999996,29.942099999999996,59.88874218749999,29.942099999999996,232.56,469.71562500000005,0,531.9529453125,539.5858242187501,265.9905,269.7696,531.9529453125,265.9905,232.56,469.71562500000005,4,270.0,4,4,0,0.013333333333333334,0.103,0.102,0.915,0.906,0.08512,10.2144,0.08512,10.2144,0.17024,0.8511999999999998,0.8511999999999998,1.7023999999999997,,,,,
